object_id;federal_state;district;lor_2021;year_accident;month_accident;hour_accident;weekday;accident_category;accident_type;accident_subtype;light_conditions;accident_involving_bicycle;accident_involving_passenger_car;accident_involving_pedestrian;accident_involving_motorcycle;accident_involving_truck;accident_involving_other;road_condition;coordinates_1a;coordinates_2a;coordinates_1b;coordinates_2b
214549;11;Treptow-Koepenick;9100101.0;2021;8;10;6;3;5;2;0;1;0;0;0;1;0;0;802360,3822;5825339,234;13,4547099;52,49419712
214546;11;Friedrichshain-Kreuzberg;2400521.0;2021;7;8;2;2;5;2;0;1;0;0;0;0;1;0;800484,7835;5828469,214;13,42999194;52,52328788
214544;11;Friedrichshain-Kreuzberg;2400625.0;2021;7;10;4;3;3;6;0;1;0;0;0;0;0;0;801731,9069;5826196,335;13,44625726;52,50222719
214539;11;Spandau;5100316.0;2021;8;16;6;2;5;2;0;1;1;0;0;0;0;0;783781,1294;5829110,653;13,18501545;52,53799017
214538;11;Mitte;1100310.0;2021;8;7;2;3;1;7;0;1;1;0;0;0;0;0;799113,2614;5828861,606;13,41019002;52,52755919
214535;11;Mitte;1100416.0;2021;7;11;6;3;5;3;0;1;1;0;0;0;0;0;798528,2501;5830051,652;13,402661;52,53854694
214534;11;Mitte;1100310.0;2021;8;9;3;3;0;3;0;1;0;0;0;0;0;0;799097,8864;5828925,685;13,4100217;52,528142
214532;11;Neukoelln;8100105.0;2021;7;13;5;2;5;3;0;1;1;0;0;0;0;0;801173,8241;5821800,452;13,43408906;52,46313405
214531;11;Marzahn-Hellersdorf;10200627.0;2021;8;15;5;3;5;3;0;1;1;0;0;0;0;0;811307,1471;5829839,997;13,5902806;52,52950126
214528;11;Marzahn-Hellersdorf;10100311.0;2021;8;11;7;3;5;2;0;1;1;0;0;0;0;0;806351,5754;5830182,35;13,51777415;52,53537692
214527;11;Pankow;3601142.0;2021;7;18;4;3;5;2;0;1;1;0;0;0;0;0;799170,5119;5830744,165;13,41272611;52,54440205
214526;11;Steglitz-Zehlendorf;6300634.0;2021;8;11;3;3;3;6;0;1;1;0;0;0;0;0;792925,3759;5817732,448;13,30946113;52,43114954
214522;11;Mitte;1100308.0;2021;8;8;4;3;1;5;0;1;1;0;0;0;0;0;797553,8366;5828698,749;13,38712523;52,52695276
214518;11;Reinickendorf;12400617.0;2021;8;11;4;3;1;5;0;1;1;0;0;0;0;0;785873,0017;5838582,631;13,22394365;52,62181951
214516;11;Mitte;1100415.0;2021;7;18;7;3;4;6;0;1;0;0;0;0;1;0;797383,1888;5829151,575;13,38502226;52,53110491
214515;11;Pankow;3300516.0;2021;8;15;4;3;5;3;0;1;1;0;0;0;0;0;801165,8157;5833191,795;13,44428119;52,56524109
214511;11;Mitte;1300733.0;2021;7;15;3;3;2;6;0;1;1;0;0;0;0;0;797396,9831;5831239,294;13,38709376;52,54981124
214508;11;Spandau;5200528.0;2021;8;14;1;3;6;7;0;1;0;1;0;0;0;0;782638,962;5826825,329;13,16627721;52,51809275
214506;11;Friedrichshain-Kreuzberg;2500830.0;2021;7;18;7;3;5;2;0;1;1;0;0;0;0;0;802544,634;5827393,275;13,45928188;52,5125053
214505;11;Charlottenburg-Wilmersdorf;4500938.0;2021;8;17;5;3;5;2;0;1;1;0;0;0;0;0;791572,9432;5824602,589;13,29562688;52,49346292
